prop7458;casa;venta;Armenia;600000000;3;45.0;vendida;propietario
prop17602;casa;venta;Armenia;30000;2;78.0;vendida;propietario
prop17922;casa;venta;Armenia;56;5;6.0;vendida;propietario
prop20834;apartamento;arriendo;Calarca;45;5;6.0;arrendada;papa
prop2243;casa;arriendo;Montenegro;6000;9;654.0;arrendada;papa
prop3396;finca;venta;Calarca;90000000;3;89.0;arrendada;vendedor
prop2211;casa;arriendo;Armenia;90000000;7;456.0;arrendada;papa
prop7524;local;venta;Armenia;7999999;0;45.0;disponible;vendedor
prop98;local;venta;Montenegro;89999999;6;34.0;reservada;marianaaa
prop1986;casa;venta;Armenia;89999;5;45.0;reservada;julian
prop1284;local;arriendo;Armenia;5000;1;230.0;reservada;pola
prop2436;casa;arriendo;Armenia;899;3;1.0;arrendada;arriendo
prop2212;local;venta;Montenegro;900000;0;120.5;vendida;vendedor
prop2851;finca;arriendo;Calarca;80000000;7;9.0e5;vendida;Robinson
